episode,reward,score,energy,app_timeout_rate,task_timeout_rate,curve_type
33,-318.7884064700719,-0.06,0.1963695723872998,0.06,0.6523333333333333,training
34,-272.08769645212544,-0.0666666666666666,0.1961061999800106,0.0666666666666666,0.6576666666666666,training
35,-317.37608391535025,-0.06,0.2000103400617658,0.06,0.6606666666666666,training
36,-275.99404273162367,-0.0533333333333333,0.1987714363275872,0.0533333333333333,0.66,training
37,-278.173402451684,-0.0533333333333333,0.199196067076135,0.0533333333333333,0.6583333333333333,training
38,-294.19591781082954,-0.0466666666666666,0.1991624258539052,0.0466666666666666,0.6606666666666666,training
39,-314.8224223485048,-0.06,0.1976744055758166,0.06,0.659,training
40,-318.46362467107105,-0.06,0.1965025146370229,0.06,0.6573333333333333,training
41,-281.66851689721983,-0.06,0.1968473855498225,0.06,0.6556666666666666,training
42,-320.8884731530123,-0.0666666666666666,0.1972814400854984,0.0666666666666666,0.6536666666666666,training
43,-297.1060280611614,-0.0533333333333333,0.1968694610276147,0.0533333333333333,0.6573333333333333,training
44,-270.47509941234864,-0.0533333333333333,0.1966043188817303,0.0533333333333333,0.6586666666666666,training
45,-278.1017460492525,-0.0466666666666666,0.1973968499580188,0.0466666666666666,0.658,training
46,-268.63563094677176,-0.04,0.1970592925590156,0.04,0.652,training
47,-263.7113600354614,-0.06,0.1958143299340332,0.06,0.6513333333333333,training
48,-255.53772500048808,-0.04,0.1966152383213787,0.04,0.6523333333333333,training
49,-285.2825766748188,-0.0466666666666666,0.1967032204164269,0.0466666666666666,0.653,training
50,-253.0907863913248,-0.0466666666666666,0.1964208932655465,0.0466666666666666,0.6526666666666666,training
51,-268.0857347048072,-0.06,0.1965752397300458,0.06,0.6543333333333333,training
52,-245.96049528755825,-0.0533333333333333,0.1966879041486176,0.0533333333333333,0.656,training
53,-273.33485112403,-0.06,0.1963997626953328,0.06,0.6503333333333333,training
54,-257.2538056054768,-0.0466666666666666,0.1968366180405518,0.0466666666666666,0.6496666666666666,training
55,-305.4776840490634,-0.04,0.1966676895196746,0.04,0.652,training
56,-296.5728811406936,-0.06,0.1969503769641358,0.06,0.6506666666666666,training
57,-272.631791129988,-0.0533333333333333,0.1968632904647838,0.0533333333333333,0.6593333333333333,training
58,-284.2154163983072,-0.06,0.1961671679542201,0.06,0.657,training
59,-268.90542364238405,-0.06,0.1963219883238086,0.06,0.6523333333333333,training
60,-256.4713695526672,-0.04,0.196624122785058,0.04,0.651,training
61,-259.163635724396,-0.06,0.1963442834012017,0.06,0.6593333333333333,training
62,-302.8639606016399,-0.0466666666666666,0.1964917195031702,0.0466666666666666,0.6456666666666667,training
63,-259.85487253651013,-0.06,0.1966545165208552,0.06,0.6553333333333333,training
64,-264.817096966986,-0.0533333333333333,0.1965724757655429,0.0533333333333333,0.6533333333333333,training
65,-310.9756129450125,-0.0533333333333333,0.1961211377724698,0.0533333333333333,0.6516666666666666,training
66,-306.7091021775719,-0.0533333333333333,0.1967051075749656,0.0533333333333333,0.6563333333333333,training
67,-274.0507482095899,-0.0466666666666666,0.1964333981230664,0.0466666666666666,0.6556666666666666,training
68,-273.2869265141261,-0.0466666666666666,0.1969129456437279,0.0466666666666666,0.655,training
69,-273.8045519798643,-0.06,0.1964819223529079,0.06,0.6596666666666666,training
70,-254.36250091282204,-0.0533333333333333,0.1968267696630673,0.0533333333333333,0.6526666666666666,training
71,-244.24692592870784,-0.0533333333333333,0.1962179648683873,0.0533333333333333,0.6543333333333333,training
72,-259.99700682882616,-0.0466666666666666,0.1963950401487938,0.0466666666666666,0.652,training
73,-277.4579181076385,-0.04,0.1970262191040175,0.04,0.6483333333333333,training
74,-283.8612554729877,-0.04,0.1974726892916334,0.04,0.653,training
75,-244.173940282314,-0.04,0.1978607036792819,0.04,0.655,training
76,-274.956590029964,-0.0533333333333333,0.1968813745756632,0.0533333333333333,0.6536666666666666,training
77,-257.1871863109566,-0.04,0.1968048147452692,0.04,0.6576666666666666,training
78,-305.08382446449855,-0.0666666666666666,0.1960179486523711,0.0666666666666666,0.6566666666666666,training
79,-277.5320113035018,-0.0533333333333333,0.1970942784490859,0.0533333333333333,0.6493333333333333,training
80,-253.1031941441988,-0.0466666666666666,0.1968336083564283,0.0466666666666666,0.6543333333333333,training
81,-269.90951848387215,-0.0466666666666666,0.1965636949558283,0.0466666666666666,0.6543333333333333,training
82,-260.5527316474209,-0.06,0.1968457834520501,0.06,0.6503333333333333,training
83,-247.4283259650051,-0.0466666666666666,0.1967191277779828,0.0466666666666666,0.651,training
84,-247.7987546820341,-0.0266666666666666,0.1969983516505948,0.0266666666666666,0.6553333333333333,training
85,-269.43425015001856,-0.0466666666666666,0.1972082817503286,0.0466666666666666,0.6536666666666666,training
86,-255.764641628186,-0.0466666666666666,0.1982139139682966,0.0466666666666666,0.6553333333333333,training
87,-255.01879902246043,-0.0533333333333333,0.1980996769184535,0.0533333333333333,0.65,training
88,-232.46743669216525,-0.0466666666666666,0.1972011578549998,0.0466666666666666,0.6506666666666666,training
89,-231.2479310526469,-0.0333333333333333,0.1974474333276002,0.0333333333333333,0.6533333333333333,training
90,-243.2354312518536,-0.0533333333333333,0.1982003326847808,0.0533333333333333,0.6483333333333333,training
91,-241.95817920929568,-0.02,0.1984071009061131,0.02,0.6533333333333333,training
92,-246.74066743888648,-0.0466666666666666,0.1974904461187473,0.0466666666666666,0.649,training
93,-279.6490746321573,-0.04,0.1975309246201659,0.04,0.6543333333333333,training
94,-296.7843172417841,-0.0466666666666666,0.2030840634108658,0.0466666666666666,0.6523333333333333,training
95,-258.35377996457856,-0.04,0.2012179955545693,0.04,0.651,training
96,-272.7174203955216,-0.0466666666666666,0.2020037205296996,0.0466666666666666,0.653,training
97,-286.0153343809184,-0.06,0.1998666888169085,0.06,0.6533333333333333,training
98,-303.3412706553503,-0.06,0.2000328691144327,0.06,0.6533333333333333,training
99,-338.9419420986701,-0.06,0.1985389395164508,0.06,0.6553333333333333,training
100,-259.44160131722373,-0.0466666666666666,0.1996661474583411,0.0466666666666666,0.6516666666666666,training
101,-282.48465091034893,-0.0466666666666666,0.2008612477607925,0.0466666666666666,0.6533333333333333,training
102,-271.0148969634463,-0.04,0.1991878638710863,0.04,0.651,training
103,-266.96695509517247,-0.04,0.1989196520703803,0.04,0.6493333333333333,training
104,-274.179064438456,-0.0466666666666666,0.1991871126145938,0.0466666666666666,0.6533333333333333,training
105,-270.9138270931675,-0.06,0.2018274523035546,0.06,0.6546666666666666,training
106,-245.85172207103395,-0.0333333333333333,0.1983964767618249,0.0333333333333333,0.6516666666666666,training
107,-237.9373245651634,-0.0466666666666666,0.1994421447456955,0.0466666666666666,0.6553333333333333,training
108,-230.9446261672916,-0.0333333333333333,0.1990586798868073,0.0333333333333333,0.654,training
109,-248.87753444593565,-0.0466666666666666,0.1990362541954654,0.0466666666666666,0.6473333333333333,training
110,-293.01405705187545,-0.0466666666666666,0.200076070719906,0.0466666666666666,0.6473333333333333,training
111,-238.87807641557217,-0.04,0.1991871307388229,0.04,0.6496666666666666,training
112,-235.10573259062568,-0.0333333333333333,0.2009816842217685,0.0333333333333333,0.6516666666666666,training
113,-283.47722723373545,-0.0466666666666666,0.199199480800143,0.0466666666666666,0.649,training
114,-275.87792281788313,-0.0466666666666666,0.2010300336215912,0.0466666666666666,0.6496666666666666,training
115,-265.5903894342558,-0.0666666666666666,0.1989378523627974,0.0666666666666666,0.6496666666666666,training
116,-264.1653535850456,-0.04,0.1977219066151431,0.04,0.6456666666666667,training
117,-257.3948497965358,-0.04,0.1988344627606044,0.04,0.6483333333333333,training
118,-237.55977707881377,-0.0333333333333333,0.1995842540768282,0.0333333333333333,0.647,training
119,-272.9767736894114,-0.04,0.1983417631470299,0.04,0.652,training
120,-226.5228447637189,-0.0533333333333333,0.198264390932184,0.0533333333333333,0.6503333333333333,training
121,-255.73183770332537,-0.04,0.1976739790827629,0.04,0.647,training
122,-240.9076252501855,-0.0333333333333333,0.1980405067902095,0.0333333333333333,0.6503333333333333,training
123,-252.61247369742185,-0.04,0.1981796162507424,0.04,0.648,training
124,-248.42490230057487,-0.04,0.1976420487736722,0.04,0.6496666666666666,training
125,-229.2552477776743,-0.0266666666666666,0.1977350567819722,0.0266666666666666,0.6453333333333333,training
126,-228.6156708467802,-0.04,0.1966368750217999,0.04,0.6483333333333333,training
127,-213.2495655221149,-0.0333333333333333,0.1970104150096357,0.0333333333333333,0.649,training
