episode,reward,score,energy,app_timeout_rate,task_timeout_rate,curve_type
1,-1928.215737003474,-0.84,0.4267026090670335,0.84,0.824,training
2,-1857.5765992850413,-0.7533333333333333,0.3994524744829134,0.7533333333333333,0.8106666666666666,training
3,-1725.411073841522,-0.68,0.3749720755124563,0.68,0.793,training
4,-1663.4437227701517,-0.48,0.3358955312589197,0.48,0.7813333333333333,training
5,-1223.8184262993557,-0.3066666666666666,0.2619682851910486,0.3066666666666666,0.7443333333333333,training
6,-1016.365525916704,-0.2,0.2462899334037848,0.2,0.732,training
7,-1023.0207536850286,-0.2133333333333333,0.2451585865949855,0.2133333333333333,0.7233333333333334,training
8,-956.911539951726,-0.18,0.2383746698654779,0.18,0.7246666666666667,training
9,-999.130441228219,-0.2266666666666666,0.237150531019129,0.2266666666666666,0.7236666666666667,training
10,-909.946474332226,-0.18,0.2339440431753625,0.18,0.727,training
11,-977.876554332871,-0.1933333333333333,0.2373588507524553,0.1933333333333333,0.725,training
12,-967.071423079376,-0.1866666666666666,0.2348882747961189,0.1866666666666666,0.7253333333333334,training
13,-936.916188452488,-0.18,0.2325616141247928,0.18,0.723,training
14,-943.7745389306232,-0.18,0.2327936068310342,0.18,0.7256666666666667,training
15,-918.772439605768,-0.18,0.2302989125090604,0.18,0.723,training
16,-945.5213170430328,-0.18,0.2296021723808839,0.18,0.7276666666666667,training
17,-948.5951296184973,-0.2,0.2297726331147205,0.2,0.732,training
18,-943.1396098488864,-0.1866666666666666,0.2316689445663205,0.1866666666666666,0.7306666666666667,training
19,-900.7230353793028,-0.1933333333333333,0.2294432979427543,0.1933333333333333,0.732,training
20,-896.9456003206877,-0.1866666666666666,0.2294706906886005,0.1866666666666666,0.727,training
21,-992.0958771224504,-0.1866666666666666,0.2311985824216796,0.1866666666666666,0.7296666666666667,training
22,-933.3248982798708,-0.18,0.2299217174696904,0.18,0.727,training
23,-935.8115331349352,-0.1733333333333333,0.2297779603178752,0.1733333333333333,0.7303333333333333,training
24,-923.5568150557584,-0.16,0.2308919367360829,0.16,0.727,training
25,-913.2767504880278,-0.18,0.2292565547704766,0.18,0.7253333333333334,training
26,-933.4900340944666,-0.1866666666666666,0.2296679588175035,0.1866666666666666,0.7243333333333334,training
27,-947.7366292902532,-0.1666666666666666,0.2306857017913811,0.1666666666666666,0.7236666666666667,training
28,-954.15044561025,-0.1866666666666666,0.2296524372763861,0.1866666666666666,0.7286666666666667,training
29,-925.5871268670936,-0.2,0.2294741309796287,0.2,0.727,training
30,-882.3534705554214,-0.18,0.2285618962249447,0.18,0.7236666666666667,training
31,-914.8417923222636,-0.2066666666666666,0.2278878648774624,0.2066666666666666,0.724,training
32,-892.8538596350242,-0.1933333333333333,0.2291484131114667,0.1933333333333333,0.7266666666666667,training
33,-896.6261033663005,-0.18,0.2291577567843422,0.18,0.7223333333333334,training
34,-924.9464156310622,-0.1666666666666666,0.2308180909800516,0.1666666666666666,0.7236666666666667,training
35,-940.5176544386992,-0.1733333333333333,0.2304169698813557,0.1733333333333333,0.729,training
36,-907.0085966232576,-0.2066666666666666,0.2287205896514665,0.2066666666666666,0.7243333333333334,training
37,-944.479996319424,-0.1866666666666666,0.2305495453535121,0.1866666666666666,0.7303333333333333,training
38,-878.7151435531646,-0.2066666666666666,0.2291809134231493,0.2066666666666666,0.7286666666666667,training
39,-931.251920186799,-0.1933333333333333,0.2302617308973248,0.1933333333333333,0.7246666666666667,training
40,-898.5071250973804,-0.2066666666666666,0.2293771084696287,0.2066666666666666,0.727,training
41,-906.8712544762144,-0.1666666666666666,0.2301087640573653,0.1666666666666666,0.7256666666666667,training
42,-902.9328939120716,-0.2066666666666666,0.2283566986099796,0.2066666666666666,0.725,training
43,-895.9881161107279,-0.2,0.2288898167701795,0.2,0.722,training
44,-928.8603943808824,-0.1866666666666666,0.2304209310081865,0.1866666666666666,0.722,training
45,-913.1788041036313,-0.18,0.2312294149316745,0.18,0.7246666666666667,training
