episode,reward,score,energy,app_timeout_rate,task_timeout_rate,curve_type
1,-1711.3065208945168,-0.78,0.3894150138590462,0.78,0.7876666666666666,training
2,-1611.958017176597,-0.68,0.3713439653951264,0.68,0.764,training
3,-1531.6097167894354,-0.5466666666666666,0.3507169692148978,0.5466666666666666,0.742,training
4,-1252.616753299171,-0.4,0.3154208274515735,0.4,0.709,training
5,-1076.96260477264,-0.36,0.2880224348985652,0.36,0.687,training
6,-798.7253019476868,-0.2133333333333333,0.2458613049190537,0.2133333333333333,0.6433333333333333,training
7,-783.9764448421906,-0.1933333333333333,0.2371930698017831,0.1933333333333333,0.6526666666666666,training
8,-843.6308650620817,-0.2133333333333333,0.2403488310901634,0.2133333333333333,0.6543333333333333,training
9,-710.7926384765129,-0.1866666666666666,0.222099160061886,0.1866666666666666,0.6473333333333333,training
10,-659.8854524463743,-0.1533333333333333,0.2227022821135312,0.1533333333333333,0.634,training
11,-709.7517075244264,-0.1666666666666666,0.2176332690544537,0.1666666666666666,0.6373333333333333,training
12,-617.7019988280739,-0.1466666666666666,0.2139207334764209,0.1466666666666666,0.6363333333333333,training
13,-593.7020356644533,-0.18,0.2132858181333076,0.18,0.6343333333333333,training
14,-649.4528844903703,-0.1666666666666666,0.2091945606034711,0.1666666666666666,0.6283333333333333,training
15,-597.0016832542104,-0.1533333333333333,0.2181707227720135,0.1533333333333333,0.6236666666666667,training
16,-596.3246542509867,-0.1666666666666666,0.211179200176771,0.1666666666666666,0.6363333333333333,training
17,-608.8912078754141,-0.1866666666666666,0.2062908122388257,0.1866666666666666,0.637,training
18,-558.4350547113497,-0.14,0.2049440140127721,0.14,0.6306666666666667,training
19,-599.0254282849822,-0.16,0.2098494805428778,0.16,0.6283333333333333,training
20,-622.8761775012616,-0.1533333333333333,0.2070651549129692,0.1533333333333333,0.6276666666666667,training
21,-567.6721915520864,-0.14,0.2053368757978313,0.14,0.6306666666666667,training
