episode,reward,score,energy,app_timeout_rate,task_timeout_rate,curve_type
1,-1428.1443325069838,-0.4866666666666667,0.3597442130782955,0.4866666666666667,0.7563333333333333,training
2,-1274.9187481243075,-0.4266666666666667,0.3463377929619957,0.4266666666666667,0.7463333333333333,training
3,-988.8763862715152,-0.2466666666666666,0.3187830264462597,0.2466666666666666,0.726,training
4,-1126.868377429436,-0.2933333333333333,0.3287693459567246,0.2933333333333333,0.7323333333333333,training
5,-907.6690693042856,-0.2066666666666666,0.3141850173627081,0.2066666666666666,0.7023333333333334,training
6,-1087.9165424701696,-0.3333333333333333,0.3196223627092597,0.3333333333333333,0.7256666666666667,training
7,-885.8473434560651,-0.2333333333333333,0.3088255266504728,0.2333333333333333,0.7026666666666667,training
8,-745.5271080933697,-0.1533333333333333,0.2842977466156785,0.1533333333333333,0.68,training
9,-679.8380661186085,-0.14,0.2629255668603978,0.14,0.6773333333333333,training
10,-616.0515340724128,-0.14,0.256123815954357,0.14,0.668,training
11,-604.6571093869345,-0.1266666666666666,0.245651145591638,0.1266666666666666,0.6676666666666666,training
12,-418.458417528678,-0.08,0.2371419213423974,0.08,0.662,training
13,-460.8866649351272,-0.0933333333333333,0.2320017094936652,0.0933333333333333,0.6613333333333333,training
14,-425.10301080060816,-0.0866666666666666,0.2213523961862791,0.0866666666666666,0.6483333333333333,training
15,-402.6671754049673,-0.06,0.2193549523774998,0.06,0.6466666666666666,training
16,-323.9379442236639,-0.06,0.2140720419337465,0.06,0.6403333333333333,training
17,-337.5242144029153,-0.0733333333333333,0.21208708190747,0.0733333333333333,0.6406666666666667,training
18,-342.0903826977216,-0.0733333333333333,0.2089268728385242,0.0733333333333333,0.6426666666666667,training
19,-345.1577456021119,-0.06,0.2093066457371933,0.06,0.6426666666666667,training
20,-315.7049282582462,-0.0466666666666666,0.2060480955892936,0.0466666666666666,0.6393333333333333,training
21,-387.6960605923809,-0.04,0.2078083210783142,0.04,0.6426666666666667,training
22,-291.4063124881785,-0.0666666666666666,0.2069122703711514,0.0666666666666666,0.6373333333333333,training
23,-344.6003045840296,-0.08,0.2043931122290511,0.08,0.6406666666666667,training
24,-326.5262107905151,-0.06,0.2048048921765169,0.06,0.646,training
25,-312.37305965713745,-0.0533333333333333,0.2039344232217761,0.0533333333333333,0.644,training
26,-296.72158756181506,-0.0666666666666666,0.2016981653858581,0.0666666666666666,0.636,training
27,-282.5915779961412,-0.0533333333333333,0.202457493919893,0.0533333333333333,0.6396666666666667,training
28,-270.70913720191777,-0.0466666666666666,0.202483738445087,0.0466666666666666,0.6406666666666667,training
29,-289.78494046402534,-0.06,0.2030049853294434,0.06,0.6403333333333333,training
30,-243.88617182337745,-0.0466666666666666,0.2018840096367665,0.0466666666666666,0.6403333333333333,training
31,-300.5603327854891,-0.04,0.2010366549397205,0.04,0.641,training
32,-293.0944289736504,-0.0666666666666666,0.2015484301206159,0.0666666666666666,0.6396666666666667,training
33,-271.53314126795266,-0.0333333333333333,0.2032642132882129,0.0333333333333333,0.6483333333333333,training
34,-312.850718116043,-0.0666666666666666,0.2028197292805815,0.0666666666666666,0.6466666666666666,training
35,-306.09674003641453,-0.0533333333333333,0.2016692941937407,0.0533333333333333,0.6396666666666667,training
36,-338.9110816311462,-0.0533333333333333,0.2028378656825747,0.0533333333333333,0.6386666666666667,training
