episode,reward,score,energy,app_timeout_rate,task_timeout_rate,curve_type
1,-2195.8899513537804,-0.24,0.2443281839356265,0.24,0.3337264150943396,training
2,-2162.1510175733315,-0.2266666666666666,0.2254366761431332,0.2266666666666666,0.3272405660377358,training
3,-1796.9947817298864,-0.1733333333333333,0.1940101692277494,0.1733333333333333,0.2753537735849056,training
4,-1612.895231774569,-0.16,0.1824146972939477,0.16,0.2517688679245283,training
5,-1572.5591445497926,-0.1266666666666666,0.1645553735087712,0.1266666666666666,0.2358490566037736,training
6,-1396.3348953601171,-0.0733333333333333,0.1590737480271295,0.0733333333333333,0.2087264150943396,training
7,-1330.904042668891,-0.0733333333333333,0.1503580882456773,0.0733333333333333,0.2022405660377358,training
8,-1372.5216056551276,-0.0733333333333333,0.14723522157797,0.0733333333333333,0.2045990566037736,training
9,-1385.130868356833,-0.0733333333333333,0.1449541593078724,0.0733333333333333,0.2010613207547169,training
10,-1365.1902559961102,-0.0733333333333333,0.1402598087956495,0.0733333333333333,0.2087264150943396,training
11,-1384.9927982806946,-0.06,0.139227596451481,0.06,0.1945754716981132,training
12,-1237.022738416669,-0.0866666666666666,0.1372695109883819,0.0866666666666666,0.1886792452830188,training
13,-1290.8758019078043,-0.0866666666666666,0.1359260106201645,0.0866666666666666,0.1992924528301886,training
14,-1306.541113558323,-0.0666666666666666,0.1371247031660348,0.0666666666666666,0.1933962264150943,training
15,-1305.3056185441503,-0.0733333333333333,0.1373089407141058,0.0733333333333333,0.1957547169811321,training
16,-1216.8020812824973,-0.08,0.1346708360838663,0.08,0.1757075471698113,training
17,-1196.094720587581,-0.08,0.1334501947306976,0.08,0.1863207547169811,training
18,-1259.4141668220063,-0.08,0.1339351942339137,0.08,0.1892688679245283,training
19,-1189.2766124570614,-0.06,0.1343361319436503,0.06,0.1804245283018868,training
20,-1254.8546841195562,-0.0733333333333333,0.1347384011439553,0.0733333333333333,0.1880896226415094,training
21,-1238.5977648507733,-0.06,0.1344551360873275,0.06,0.1733490566037736,training
