episode,reward,score,energy,app_timeout_rate,task_timeout_rate,curve_type
1,-1635.6018702032177,-0.6533333333333333,0.4005416569380858,0.6533333333333333,0.7806666666666666,training
2,-1579.735072300822,-0.6133333333333333,0.3891553520872767,0.6133333333333333,0.7706666666666667,training
3,-1417.482138358638,-0.5133333333333333,0.3632769393617331,0.5133333333333333,0.7506666666666667,training
4,-1210.6196599719956,-0.3933333333333333,0.3198644308250012,0.3933333333333333,0.726,training
5,-1079.1320526700877,-0.34,0.3030345624424114,0.34,0.7213333333333334,training
6,-975.8401520846588,-0.2533333333333333,0.2763153078355383,0.2533333333333333,0.6983333333333334,training
7,-1084.5318881328603,-0.3,0.3019553341673874,0.3,0.7186666666666667,training
8,-1038.1117086687827,-0.28,0.2825176384384324,0.28,0.7153333333333334,training
9,-875.6619015847139,-0.2133333333333333,0.2579357847978947,0.2133333333333333,0.695,training
10,-806.522589087908,-0.2066666666666666,0.2484353147700278,0.2066666666666666,0.6893333333333334,training
11,-764.8159162290544,-0.2,0.2385269842736216,0.2,0.692,training
12,-722.2497232516506,-0.1733333333333333,0.2366574122248961,0.1733333333333333,0.6826666666666666,training
13,-697.3091255335299,-0.1666666666666666,0.2308715954325473,0.1666666666666666,0.6803333333333333,training
14,-688.2013141769092,-0.1333333333333333,0.2304587907087427,0.1333333333333333,0.677,training
15,-697.3567409956338,-0.16,0.2285381379812551,0.16,0.6746666666666666,training
16,-639.0273801583394,-0.1333333333333333,0.2215771043047228,0.1333333333333333,0.6733333333333333,training
17,-633.6828860275676,-0.16,0.2176222110611438,0.16,0.679,training
18,-617.4059803001028,-0.1266666666666666,0.2163876468988492,0.1266666666666666,0.671,training
19,-615.1818790196993,-0.1533333333333333,0.2183224237492564,0.1533333333333333,0.6693333333333333,training
20,-667.7343888154957,-0.1466666666666666,0.2193101105898731,0.1466666666666666,0.6756666666666666,training
21,-607.614756313818,-0.1133333333333333,0.2168191431513449,0.1133333333333333,0.6726666666666666,training
22,-582.9187722633867,-0.12,0.2122674643399223,0.12,0.6723333333333333,training
23,-607.7674354301824,-0.14,0.2145453583197413,0.14,0.6633333333333333,training
24,-598.5925423917424,-0.1266666666666666,0.2129353721617399,0.1266666666666666,0.6673333333333333,training
25,-615.3804055831938,-0.1533333333333333,0.2132900532791027,0.1533333333333333,0.6686666666666666,training
26,-595.2792931231712,-0.14,0.2124101452728458,0.14,0.6723333333333333,training
