episode,reward,score,energy,app_timeout_rate,task_timeout_rate,curve_type
1,-1789.303976387022,-0.1533333333333333,0.2061270184972106,0.1533333333333333,0.2973421926910299,training
2,-1589.8626410725728,-0.12,0.1982583910821937,0.12,0.2668881506090808,training
3,-1600.3037986986053,-0.16,0.184988331075473,0.16,0.2668881506090808,training
4,-1315.4709788909695,-0.0933333333333333,0.1687980381189093,0.0933333333333333,0.2126245847176079,training
5,-1068.8455580770935,-0.0333333333333333,0.154449836177841,0.0333333333333333,0.1666666666666666,training
6,-999.7907981729152,-0.0666666666666666,0.1468959536954873,0.0666666666666666,0.1683277962347729,training
7,-784.9013638826714,-0.04,0.1361766745947321,0.04,0.1406423034330011,training
8,-691.8622298047187,-0.0333333333333333,0.1273889897453921,0.0333333333333333,0.1234772978959025,training
9,-707.9442065583179,-0.0266666666666666,0.1255794787991256,0.0266666666666666,0.1184939091915836,training
10,-630.0408358235562,-0.0266666666666666,0.1210953802213946,0.0266666666666666,0.1112956810631229,training
11,-613.587588877305,-0.0333333333333333,0.1214992843675858,0.0333333333333333,0.1024363233665559,training
12,-655.618068563495,-0.04,0.1205744959760803,0.04,0.1168327796234773,training
13,-616.3280526710654,-0.0133333333333333,0.1201830968897911,0.0133333333333333,0.1029900332225913,training
14,-690.6034426911277,-0.0266666666666666,0.1188501355453092,0.0266666666666666,0.1234772978959025,training
15,-636.2848785640333,-0.0333333333333333,0.1186169034241851,0.0333333333333333,0.110188261351052,training
16,-614.1534298638638,-0.0266666666666666,0.1200708161417579,0.0266666666666666,0.1090808416389811,training
17,-719.2444069430179,-0.04,0.1169535978976573,0.04,0.1251384274640088,training
18,-615.8369557916758,-0.0333333333333333,0.1172455428031496,0.0333333333333333,0.1074197120708748,training
19,-658.4221398005761,-0.02,0.1222755327701625,0.02,0.1179401993355481,training
20,-626.094111495981,-0.0333333333333333,0.118479382416883,0.0333333333333333,0.1201550387596899,training
21,-652.1698321211195,-0.0333333333333333,0.1207242806244888,0.0333333333333333,0.1112956810631229,training
22,-586.9777055089552,-0.0133333333333333,0.1188803403380161,0.0133333333333333,0.0930232558139534,training
23,-620.767887444992,-0.0266666666666666,0.1182932448602026,0.0266666666666666,0.1052048726467331,training
24,-616.0625863425938,-0.0333333333333333,0.1181447302103887,0.0333333333333333,0.1068660022148394,training
25,-597.0602872089546,-0.0266666666666666,0.1188316785571198,0.0266666666666666,0.1002214839424141,training
26,-604.9515560542187,-0.0266666666666666,0.1186236396960432,0.0266666666666666,0.1090808416389811,training
27,-579.3202827358842,-0.0333333333333333,0.1172113348810768,0.0333333333333333,0.1118493909191583,training
28,-643.7035433232355,-0.0266666666666666,0.1172035845014095,0.0266666666666666,0.1096345514950166,training
29,-606.6490263115377,-0.02,0.1178503004277954,0.02,0.1052048726467331,training
30,-706.7790431426246,-0.0333333333333333,0.119879945245461,0.0333333333333333,0.1140642303433001,training
31,-636.7928505484092,-0.02,0.1192515796297492,0.02,0.1035437430786268,training
