dag,algo,kind,label,seed,app_timeout_rate,task_timeout_rate,energy,delay_succ,delay_all,E_succ,E_all,UtilityScore_succ,UtilityScore_all,score,runtime_min,inference_time_ms,D_all_src,has_reeval,src_dir,mtime
chain,noguidece,ablation,noguidece,11,0.12,0.7393333333333333,0.2090868678575965,1.4717737506231123,1.422462017156849,0.2095265738749886,0.2095265738749886,0.34180758768312464,0.34391586800504786,40.89179690480111,109.97,15.720907732061423,result.json,False,ablation_classic_chain_20260819_085504,2026-08-19 12:36
chain,noguidece,ablation,noguidece,15,0.1133333333333333,0.73,0.2052162520129869,1.4090456048246456,1.376436483859716,0.2052162520129869,0.2052162520129869,0.38267805375443326,0.3840257726957724,33.7357691258193,162.03,23.345291240903784,result.json,False,ablation_classic_chain_20260819_224110,2026-08-20 04:19
chain,noguidece,ablation,noguidece,19,0.1,0.6893333333333334,0.1813215208867502,1.3316715797350274,1.3025486041756564,0.1813215208867502,0.1813215208867502,0.4593830136527623,0.46049552212175826,21.525567034046844,160.19,23.23726834165792,result.json,False,ablation_classic_chain_20260819_224120,2026-08-20 04:18
chain,noguidece,ablation,noguidece,42,0.0466666666666666,0.668,0.1964876045275803,1.244404762395554,1.228668254406695,0.1964876045275803,0.1964876045275803,0.64799227645628,0.6484343468649715,1.3993028793483204,54.36,7.386325492186946,result.json,False,main_comparison_20260824_203442,2026-08-25 01:37
chain,noshield,ablation,noshield,1,0.1266666666666666,0.6936666666666667,0.2097269525650936,1.3899471566011763,1.3659591344382422,0.2094954116851727,0.2094954116851727,0.3130773416397861,0.3141252533843839,48.61302572396546,53.6,7.393573527411109,result.json,False,main_comparison_20260824_203442,2026-08-25 02:31
chain,noshield,ablation,noshield,3,0.1666666666666666,0.7536666666666667,0.2334457381183098,1.591206236889271,1.5175961163469192,0.2332500461790158,0.2332500461790158,0.04339325384000442,0.04695235435841478,110.74320487295132,52.83,7.41326624919592,result.json,False,main_comparison_20260824_203442,2026-08-25 03:24
chain,noshield,ablation,noshield,5,0.14,0.755,0.2064407138618091,1.5020075941892883,1.4732856197000743,0.2064130353918569,0.2064130353918569,0.2189636543835339,0.2202880996304594,66.57184687417245,56.57,7.991959635248513,result.json,False,main_comparison_20260821_155715,2026-08-21 21:27
chain,noshield,ablation,noshield,7,0.0266666666666666,0.6316666666666667,0.1992155611802393,1.2324874954709035,1.218188996014395,0.198836836856724,0.198836836856724,0.6809694035109158,0.6813407403334051,1.3259591091028822,58.66,8.050335889328485,result.json,False,main_comparison_20260821_155715,2026-08-21 22:27
chain,noshield,ablation,noshield,9,0.08,0.7156666666666667,0.1856672535439827,1.3227096811189825,1.299112261221532,0.1856565717989561,0.1856565717989561,0.5443455351199928,0.5451495508576764,8.747361366786627,110.94,15.726320287416817,result.json,False,ablation_classic_chain_20260819_085455,2026-08-19 14:30
chain,noshield,ablation,noshield,11,0.14,0.77,0.2065152517727558,1.5093585224678705,1.454970590708487,0.2068619917171889,0.2068619917171889,0.21648104572992705,0.21899119200466105,66.601667149234,109.85,15.697015790766953,result.json,False,ablation_classic_chain_20260819_085504,2026-08-19 14:27
chain,noshield,ablation,noshield,15,0.1133333333333333,0.7383333333333333,0.2070918694983904,1.415962939883528,1.3833036852401557,0.2070918694983904,0.2070918694983904,0.3813242236293114,0.38267565186353875,33.754258966067376,189.93,27.428844990108846,result.json,False,ablation_classic_chain_20260819_224110,2026-08-20 07:31
chain,noshield,ablation,noshield,19,0.1066666666666666,0.698,0.1836645567411359,1.3448103729160663,1.3136727824022698,0.1831268815672534,0.1831268815672534,0.42452665516935945,0.42576258188945965,27.24576469935517,184.85,27.11318250780118,result.json,False,ablation_classic_chain_20260819_224120,2026-08-20 07:24
chain,noshield,ablation,noshield,42,0.06,0.6783333333333333,0.1980589787727934,1.2519314903788092,1.235379254802544,0.1980589787727934,0.1980589787727934,0.6160537063799594,0.6165510523855547,2.233680362998584,54.43,7.416805156826091,result.json,False,main_comparison_20260824_203442,2026-08-25 04:19
chain,DGMA_adapt,ext_rl,DGMA_adapt,1,0.14,0.7,0.2104714042961406,1.3985645554246826,1.3718803532312525,0.2104714042961406,0.2104714042961406,0.23155229912760847,0.23277545406267752,3382.5371981134767,231.89,0.0,result.json,False,main_comparison_20260824_203442,2026-08-28 13:54
chain,DGMA_adapt,ext_rl,DGMA_adapt,3,0.2,0.7583333333333333,0.2290914886433908,1.5986976181934294,1.5161404280076634,0.229355271037034,0.229355271037034,-0.1755213611340095,-0.17164202122027228,7223.585467490358,197.65,0.0,result.json,False,main_comparison_20260824_203442,2026-08-28 13:54
chain,DGMA_adapt,ext_rl,DGMA_adapt,5,0.17333333333333334,0.742,0.2053305399944333,1.5150730160576271,1.461787851989695,0.2053305399944333,0.2053305399944333,0.004958465226427712,0.0075400085174733966,5338.682338378608,409.65,0.0,result.json,False,main_comparison_20260822_004654,2026-08-28 19:01
chain,DGMA_adapt,ext_rl,DGMA_adapt,7,0.05333333333333334,0.646,0.1989869814619677,1.2522215260069287,1.2357105123659593,0.1989869814619677,0.1989869814619677,0.635596914182093,0.6360734565511115,377.1900185174195,458.12,0.0,result.json,False,main_comparison_20260822_004654,2026-08-28 19:01
chain,DGMA_adapt,ext_rl,DGMA_adapt,42,0.06666666666666667,0.6793333333333333,0.1988786487180215,1.2530995523872357,1.2364356001325976,0.1988786487180215,0.1988786487180215,0.5966932867380496,0.5972129428096322,644.0096482318232,110.5,0.0,result.json,False,main_comparison_20260824_203442,2026-08-28 13:55
chain,DGMA_paper,ext_rl,DGMA_paper,1,0.47333333333333333,0.7893333333333333,0.4108899903078785,1.4797075910371302,1.5232752388425093,0.3013350469758592,0.3013350469758592,-0.5653702679456064,-0.5668046746592953,-0.7611155907652188,647.25,0.0,result.json,False,main_comparison_20260824_203442,2026-08-28 13:55
chain,DGMA_paper,ext_rl,DGMA_paper,3,0.7533333333333333,0.8716666666666667,0.4148552338539958,1.5606461186047125,1.5968990715193905,0.3677588057552993,0.3677588057552993,-0.6913773051317254,-0.6922930500862565,-0.7630565087955781,296.52,0.0,result.json,False,main_comparison_20260824_203442,2026-08-28 13:55
