algo,label,kind,dag,n,AppTO_mean_pct,AppTO_std_pct,D_succ_mean,D_succ_std,D_all_mean,D_all_std,E_mean,E_std,Util_succ_mean,Util_succ_std,Util_all_mean,Util_all_std
HybridPSOGA,HybridPSOGA,heuristic,default,5,19.999999999999996,26.24245923435276,1.2772173767189918,0.19271912229724344,1.2460440744054937,0.16359970224712644,0.2191317950104526,0.010949529498514025,0.15698295798873824,0.6489837080986465,0.15807654483091332,0.6480157134586075
HybridPSOGA,HybridPSOGA,heuristic,wide,5,21.066666666666663,20.442874335844042,0.3355271310053639,0.03946760950126816,0.4651474306063462,0.03793846389578153,0.12904348110071268,0.0063150068252672015,0.18640561840543962,0.6179057447205825,0.18640561840543962,0.6179057447205825
Genetic,Genetic,heuristic,chain,5,24.666666666666668,22.25109235770485,1.4354799280960333,0.1977316965642543,1.4218086236863796,0.1716284535421362,0.25792226150902264,0.011981648615281996,-0.043775036526429466,0.6656341271258339,-0.043403032311902526,0.6653918052369651
Genetic,Genetic,heuristic,default,5,22.4,19.405612017604025,1.3299143380026017,0.1217339869016716,1.2939185444004442,0.10932585830239538,0.26679831590511477,0.010627754171672723,0.010848267945350053,0.6095581505000699,0.01214567180315942,0.608984097074731
Genetic,Genetic,heuristic,wide,5,16.666666666666668,6.976149845485449,0.36739471416644004,0.03295231165782207,0.4657221545489486,0.02950986787220591,0.1502048441079028,0.004195932387470855,0.16091242299817446,0.37548638614034835,0.16091242299817446,0.37548638614034835
Greedy,Greedy,heuristic,chain,5,50.4,37.0273172431142,1.4352883844376705,0.19149982563206952,1.489226875741805,0.11981305381748618,0.1765507652841717,0.02554596013631459,-0.30106059003058033,0.49945828492749406,-0.30302262271936503,0.49950510622339095
Greedy,Greedy,heuristic,default,5,64.93333333333334,28.885213441405547,1.2591454903257344,0.08691202474119619,1.380527266977305,0.051028863234498206,0.16780245969397384,0.02614041037898581,-0.6114719501536758,0.11019675548374817,-0.6149273311669761,0.11033064199217363
Greedy,Greedy,heuristic,wide,5,41.46666666666667,19.301122592567857,0.4679080086503804,0.3535253719991145,0.48035225243446983,0.031225863833072378,0.09477742262549478,0.010068106787771121,-0.4726718473723005,0.11949404618476785,-0.4703212818378238,0.11559942424526123
Edge-only,Edge-only,heuristic,chain,5,44.93333333333333,47.32300356768013,1.3181481392764849,0.2140189799960665,1.505451993175276,0.13078567653242487,0.2503711232715131,0.03772940320541361,-0.10718262527702402,0.6995137578759889,-0.11110002842543598,0.7050181583616694
Edge-only,Edge-only,heuristic,default,5,58.0,42.2558345741219,1.2810130454188118,0.17118546338683582,1.4071278562973544,0.035916599349772836,0.23956723941159525,0.04285104272048412,-0.3401405249228876,0.48725042023215576,-0.34248239503814615,0.49193877081265097
Edge-only,Edge-only,heuristic,wide,5,44.93333333333334,19.45136384821269,0.4746536525961572,0.3507373068284832,0.4888203321817651,0.0259468471607334,0.13113694470717324,0.01578719905764876,-0.49890899813393397,0.10369735094305504,-0.4966252870164832,0.09967907121598571
Local-only,Local-only,heuristic,chain,5,100.0,0.0,1.1,0.0,1.6264800000000013,0.00877640776931716,0.4082411961010304,0.012109121657086686,-0.7606286719052557,0.003991754904410412,-0.771170095540073,0.003968120634782635
Local-only,Local-only,heuristic,default,5,100.0,0.0,1.1,0.0,1.438733333333333,0.005708862505886592,0.39416289530470977,0.01907574759507827,-0.7589896899082088,0.00516476244059474,-0.7658604731019262,0.005042632172095152
Local-only,Local-only,heuristic,wide,5,92.53333333333333,7.935853941308256,1.1,0.0,0.5267333333333328,0.01052246274510958,0.24276789945661825,0.005673084198830594,-0.7175345411721168,0.027323896917202384,-0.7080132108643289,0.028085122856024037
