dag,algo,label,n,AppTO_mean_pct,Util_all_mean,CPGAPPO_AppTO_mean_pct,CPGAPPO_Util_all_mean,delta_AppTO_pct,delta_Util_all,flag
chain,CPGAPPO,CPGAPPO,3,7.555555555555554,0.47483859430416747,7.555555555555554,0.47483859430416747,0.0,0.0,
chain,noguidece,noguidece,3,11.333333333333327,0.3377938443547073,7.555555555555554,0.47483859430416747,3.7777777777777732,-0.1370447499494602,
chain,noshield,noshield,3,11.777777777777773,0.3258762200427845,7.555555555555554,0.47483859430416747,4.22222222222222,-0.14896237426138298,
chain,noappcredit,noappcredit,3,8.888888888888888,0.4536375240590977,7.555555555555554,0.47483859430416747,1.333333333333334,-0.021201070245069786,
chain,nocp,nocp,3,10.444444444444441,0.3818735260157222,7.555555555555554,0.47483859430416747,2.8888888888888875,-0.09296506828844525,
chain,fwdonly,fwdonly,3,8.22222222222222,0.4926887893127538,7.555555555555554,0.47483859430416747,0.6666666666666661,0.01785019500858631,
chain,alloff,alloff,3,12.444444444444438,0.2910428360849571,7.555555555555554,0.47483859430416747,4.888888888888884,-0.18379575821921035,
default,CPGAPPO,CPGAPPO,3,8.888888888888888,0.47179618468316614,8.888888888888888,0.47179618468316614,0.0,0.0,
default,noguidece,noguidece,3,10.222222222222216,0.41490092647231486,8.888888888888888,0.47179618468316614,1.3333333333333286,-0.056895258210851285,
default,noshield,noshield,3,10.666666666666663,0.40453245411598715,8.888888888888888,0.47179618468316614,1.777777777777775,-0.06726373056717899,
default,noappcredit,noappcredit,3,9.999999999999996,0.4010581733867365,8.888888888888888,0.47179618468316614,1.111111111111109,-0.07073801129642965,
default,nocp,nocp,3,11.555555555555552,0.3368686334497664,8.888888888888888,0.47179618468316614,2.6666666666666643,-0.13492755123339972,
default,fwdonly,fwdonly,3,9.33333333333333,0.4205284430582614,8.888888888888888,0.47179618468316614,0.44444444444444287,-0.05126774162490472,
default,alloff,alloff,3,13.111111111111105,0.26166632767929854,8.888888888888888,0.47179618468316614,4.222222222222218,-0.2101298570038676,
wide,CPGAPPO,CPGAPPO,3,2.22222222222222,0.7332143491336464,2.22222222222222,0.7332143491336464,0.0,0.0,
wide,noguidece,noguidece,3,2.666666666666663,0.7295582196228046,2.22222222222222,0.7332143491336464,0.44444444444444287,-0.0036561295108417102,
wide,noshield,noshield,3,3.3333333333333304,0.7172772320655821,2.22222222222222,0.7332143491336464,1.1111111111111103,-0.01593711706806422,
wide,noappcredit,noappcredit,3,1.9999999999999967,0.7315545098257061,2.22222222222222,0.7332143491336464,-0.22222222222222343,-0.0016598393079402252,
wide,nocp,nocp,3,3.3333333333333304,0.7094299993377033,2.22222222222222,0.7332143491336464,1.1111111111111103,-0.023784349795943016,
wide,fwdonly,fwdonly,3,2.888888888888887,0.7220918632775944,2.22222222222222,0.7332143491336464,0.666666666666667,-0.011122485856051911,
wide,alloff,alloff,3,3.33333333333333,0.7131794833223518,2.22222222222222,0.7332143491336464,1.1111111111111098,-0.020034865811294544,
