dag,reviewer,param_key,param_val,is_default,n_seeds,AppTO_mean_pct,AppTO_std_pct,D_all_mean,D_all_std,D_succ_mean,D_succ_std,Util_all_mean,Util_all_std,Util_succ_mean,Util_succ_std
chain,R1-6,LAMBDA_GUIDE,0,False,5,10.266666666666667,6.066300355241241,1.3578899809928555,0.13550800648543154,1.3900608190670076,0.15658723766361166,0.38416264046738624,0.30467547886221563,0.382795385012597,0.3059224663396454
chain,R1-6,LAMBDA_GUIDE,0p05,False,5,9.466666666666665,6.080935600528735,1.3516932954054275,0.13664452303475624,1.3823108404609408,0.16011347374622553,0.41444272219972544,0.2677165640839507,0.41311361954368886,0.2689368062539366
chain,R1-6,LAMBDA_GUIDE,0p1,False,5,7.0666666666666655,5.648992043817296,1.3492337035662902,0.13522923099281184,1.374303135932724,0.1531283022522607,0.5148451148491417,0.1901668806274151,0.5138568531147556,0.1910195139238279
chain,R1-6,LAMBDA_GUIDE,0p2,False,5,8.133333333333333,7.186406921712995,1.350462553333218,0.13674738963191663,1.3823302255401775,0.16131646429959293,0.44292536695064005,0.2868614704368646,0.44156181063687105,0.2881594433613291
chain,R1-6,LAMBDA_GUIDE,0p4,False,5,9.733333333333333,6.047956496022253,1.3521990551830738,0.13728714518721544,1.3840001040554764,0.16042519960757687,0.4066407673117375,0.29394186848301074,0.40526807468960546,0.29520336265883934
default,R1-6,LAMBDA_GUIDE,0p05,False,5,9.466666666666665,5.194013648208654,1.1909662791582787,0.10293064201166949,1.2235405497058305,0.1261385978156576,0.44112456870449,0.22472049859183646,0.4397647119394453,0.2256593151490522
default,R1-6,LAMBDA_GUIDE,0p1,False,5,8.933333333333334,5.861361237422204,1.1882243095714995,0.10280189191130391,1.2176851837061626,0.12234536257878374,0.45097970827864603,0.24837107608963135,0.4497591147976479,0.2493778026873109
default,R1-6,LAMBDA_GUIDE,0p2,False,5,9.599999999999998,6.102822662051096,1.1895094819797056,0.10523053753843645,1.2195487906832807,0.12454629932693846,0.4193377841751612,0.26332224942775445,0.41807564493175553,0.2641584263477483
default,R1-6,LAMBDA_GUIDE,0p4,False,5,10.4,6.193186219996583,1.1856339634874602,0.10265389366440276,1.2202766420292757,0.12585008129754136,0.385560216082521,0.3050661565604026,0.3840756360531385,0.30618220342989616
default,R1-6,LAMBDA_GUIDE,0,False,5,11.599999999999998,6.084588911522471,1.1924944455619872,0.10517109577678277,1.2272581185865157,0.128454460072564,0.3265364934314947,0.30145504811745755,0.32497041656616743,0.3026393384359032
wide,R1-6,LAMBDA_GUIDE,0p05,False,5,2.666666666666667,2.581988897471611,0.4425295515409318,0.042639879820572754,0.43951152270835225,0.0361965716444502,0.7241499309852539,0.036551612749906495,0.7241499309852539,0.036551612749906495
wide,R1-6,LAMBDA_GUIDE,0p1,False,5,2.666666666666667,2.9439202887759492,0.43914472926081594,0.0444891232738461,0.4317409588318507,0.03207661831194093,0.7214018948330402,0.0435311529060937,0.7214018948330402,0.0435311529060937
wide,R1-6,LAMBDA_GUIDE,0p2,False,5,3.3333333333333335,5.120763831912406,0.4411461133254651,0.04629471613792518,0.4386299496837678,0.04021437143568398,0.6815708816549282,0.13953671186363029,0.6815708816549282,0.13953671186363029
wide,R1-6,LAMBDA_GUIDE,0p4,False,5,3.7333333333333334,4.889898885571267,0.44157769955292947,0.04560078886626474,0.43298926402222493,0.03469088959537096,0.6796624869477811,0.1232842643349626,0.6796624869477811,0.1232842643349626
wide,R1-6,LAMBDA_GUIDE,0,False,5,2.666666666666667,2.2607766610417563,0.4454652717147532,0.04115099399909527,0.43578784960171035,0.028779025547744367,0.7259510561913957,0.030566291491791815,0.7259510561913957,0.030566291491791815
default,R1-6,BONUS_TO,-14,False,5,8.266666666666667,5.262023269512297,1.1943126786135416,0.10993168390315487,1.2181229392134743,0.12447043683663962,0.48718472996414447,0.18729539912590165,0.48623099415225035,0.18801477422310722
default,R1-6,BONUS_TO,-10,False,5,8.666666666666668,7.302967433402214,1.185586707009777,0.10110576803803759,1.2127842923922898,0.12368839018547154,0.4282619300924938,0.27654036186400566,0.4270709661080213,0.27764101598781954
default,R1-6,BONUS_TO,-7,True,5,9.066666666666666,5.428320796219275,1.1869363788661693,0.10071032602494559,1.2163404163149731,0.1207464941863102,0.4551397057140566,0.23483846063404143,0.45394014218530787,0.23565602655756254
default,R1-6,BONUS_TO,-4,False,5,7.866666666666667,4.6284146553892755,1.1963845861393376,0.10607626616952215,1.2158925361864141,0.11475756662732502,0.5140078774127738,0.16187612538099969,0.5132769907187613,0.16228720714888747
default,R1-6,BONUS_TO,-2,False,5,7.6,5.046450898073484,1.1888093757588285,0.1063802608650532,1.2148106192359176,0.1207584797470289,0.5170877618337014,0.16471466131778192,0.516113857749082,0.1652540123741762
default,R1-6,W_E,0p025,False,5,8.666666666666666,6.2360956446232345,1.1890820078250819,0.10270007665171643,1.2162321777559628,0.11994151976316789,0.4517431668286173,0.23669477079959875,0.45060778283068254,0.23755896436380017
default,R1-6,W_E,0p05,False,5,8.533333333333333,4.839651043435077,1.1879837002466493,0.10202673131228764,1.2172123661039775,0.12070016596000782,0.4849992226804526,0.18358705666593228,0.483835095836343,0.1844011609803445
default,R1-6,W_E,0p1,False,5,9.066666666666666,5.090295778352286,1.1978413093530913,0.09440457420112935,1.2290764315522247,0.11392658912664466,0.4591336649177794,0.2082440544283015,0.457882078686365,0.20893154081169113
default,R1-6,W_E,0p2,False,5,9.866666666666665,4.908043285148256,1.1944662128842791,0.09364717129889634,1.2268620115879811,0.11583830289697768,0.4285815755507902,0.22119489716270457,0.4272109847288018,0.22225890445234958
default,R1-6,W_E,0,False,5,8.933333333333334,6.370068898982002,1.1917971909062195,0.10154413101309541,1.217493487519037,0.11977603003365682,0.44006890776459395,0.2617792622504306,0.4389787036143618,0.26280049282182993
default,R1-6,W_D,0p05,False,5,7.866666666666667,5.914201364324501,1.1954640761094262,0.10788273046951653,1.221793957929837,0.12697882836320729,0.4883413484812273,0.21295860317363924,0.48727231543583277,0.21392470880845035
default,R1-6,W_D,0p1,False,5,8.8,5.914201364324501,1.195695364434762,0.10392239323082712,1.2210280672257567,0.12527205177439324,0.45556480298850816,0.25632237587848555,0.45448407464723567,0.25746326556791227
default,R1-6,W_D,0p2,False,5,7.733333333333334,5.861361237422205,1.1904734910749055,0.10129462319964894,1.2183164554653474,0.12332336996283551,0.4956225634071193,0.22387654587244887,0.49448419614698613,0.2249779464588371
default,R1-6,W_D,0p4,False,5,8.4,6.873459423350402,1.1922684650060127,0.10648731669786002,1.2200356150871383,0.1272033767978023,0.44679082833810113,0.24534022916055725,0.4456289424377899,0.2461973284105169
default,R1-6,W_D,0,False,5,7.733333333333334,5.304086474910956,1.1910100192523134,0.10674041486693571,1.2152111559630394,0.12371265888055981,0.5062013356995945,0.17560899658381202,0.5052419068375443,0.1764208106908047
chain,R1-6,SHIELD_THR_HIGH,1p05,False,5,6.8,5.278888771954442,1.3478686043612795,0.13652968663848036,1.3717704282289085,0.15126489851548922,0.5305320198032013,0.17137126053764218,0.5296363734686593,0.17198948838868108
chain,R1-6,SHIELD_THR_HIGH,1p15,False,5,8.666666666666668,6.61647774709307,1.3538175917451025,0.12603048921961238,1.3848044820685963,0.14904468331832194,0.4348888016969329,0.26850356986408386,0.4335636016994592,0.2697593084335145
chain,R1-6,SHIELD_THR_HIGH,1p1,False,5,7.466666666666667,5.585696017507577,1.35317599336551,0.13839942684597606,1.3828921136505223,0.16449626482974258,0.5011381796819226,0.22190229539615705,0.4998967298866881,0.2232927209137612
chain,R1-6,SHIELD_THR_HIGH,1p2,False,5,7.866666666666667,5.424225495148798,1.3529990167033819,0.13724527322970972,1.3791636916595784,0.15436890113400073,0.49068037745924953,0.20977520930478938,0.4896403293228083,0.21062225628983566
chain,R1-6,SHIELD_THR_HIGH,1,False,5,9.466666666666665,7.309050705955064,1.3503839370353963,0.13071249039573465,1.3804335668320182,0.15854157473039177,0.391869494305811,0.3352484723789595,0.39052829994196037,0.33669576504983717
default,R1-6,SHIELD_THR_HIGH,1p05,False,5,9.466666666666665,6.331578704311341,1.1884201942152657,0.10550568016795459,1.217991294701338,0.12874946652660138,0.4169064904110294,0.2598330462013644,0.415605871637048,0.2609745561127504
default,R1-6,SHIELD_THR_HIGH,1p15,False,5,8.4,6.508114592995083,1.1868467166511234,0.10046528553532458,1.2143322758397326,0.12031868912221327,0.4556317790433827,0.22697874815060087,0.4544762394175022,0.2279084998369001
default,R1-6,SHIELD_THR_HIGH,1p1,False,5,8.4,5.589673017667889,1.1880319867508484,0.0997635042724653,1.2146795255388045,0.119687925253603,0.4752937452023298,0.20130189601729678,0.47419754794734004,0.2021580728047964
default,R1-6,SHIELD_THR_HIGH,1p2,False,5,9.066666666666666,6.299911815961306,1.1925812694259648,0.10720599533339238,1.2215554336008119,0.12559193216683773,0.4367933273182702,0.26358567752023976,0.43559045278159036,0.2644274224409278
default,R1-6,SHIELD_THR_HIGH,1,False,5,8.0,5.57773351022717,1.1884045060475221,0.10663503931579286,1.2134888232480865,0.12071560648269904,0.4933139710323637,0.222104572546846,0.4923255895821167,0.2228592937919513
wide,R1-6,SHIELD_THR_HIGH,1p05,False,5,3.066666666666667,3.988873413773758,0.44018682839114504,0.04311700908938948,0.43984675848927174,0.03756492083660436,0.7041544510106206,0.08305585173103285,0.7041544510106206,0.08305585173103285
wide,R1-6,SHIELD_THR_HIGH,1p15,False,5,2.666666666666667,2.9439202887759492,0.44136085310192386,0.04550906577532507,0.43827779237855174,0.039173849906640225,0.721567138986247,0.04381745640547179,0.721567138986247,0.04381745640547179
wide,R1-6,SHIELD_THR_HIGH,1p1,False,5,2.533333333333333,2.958978802822953,0.4397301965415929,0.0458669015107899,0.43297138905730714,0.03300907311385672,0.7229427236294647,0.043973044650368324,0.7229427236294647,0.043973044650368324
wide,R1-6,SHIELD_THR_HIGH,1p2,False,5,2.2666666666666666,2.649947588580239,0.4410288333979525,0.042756958885067836,0.43396425603001676,0.0307972204749835,0.7282058100968236,0.036153469982247534,0.7282058100968236,0.036153469982247534
wide,R1-6,SHIELD_THR_HIGH,1,False,5,3.0666666666666673,3.3862466931200785,0.4399631104338253,0.046060955605832274,0.43690271034724903,0.0421626663285559,0.711981786320077,0.05958138012138873,0.711981786320077,0.05958138012138873
chain,R1-6,SHIELD_THR_NORM,1p05,False,5,8.000000000000002,5.011098792790969,1.3529578362554278,0.14065150647893002,1.3826821769201625,0.16232707794014903,0.49634240863325585,0.22543117337937404,0.4951599685567182,0.22645838791795395
chain,R1-6,SHIELD_THR_NORM,1p15,False,5,7.7333333333333325,6.6097570975709,1.3527314898387777,0.13336429801046426,1.3785012259780285,0.1542266893941511,0.4685886749279655,0.22718051211325674,0.4675010037283139,0.22825092342608588
chain,R1-6,SHIELD_THR_NORM,1p1,False,5,8.0,5.395471352079549,1.3506979345729706,0.137736792181936,1.376365451287656,0.158406987631201,0.485170153710014,0.20128956866164088,0.4841139080607418,0.20224287624622855
chain,R1-6,SHIELD_THR_NORM,1p2,False,5,6.2666666666666675,5.668627111861683,1.350996857768735,0.13174602786684383,1.3762449517575015,0.15045285041786194,0.5396728106632096,0.16985174563840216,0.5387045354450783,0.17073279804380903
chain,R1-6,SHIELD_THR_NORM,1p3,False,5,8.400000000000002,4.844240566555987,1.3528221898799166,0.13642111980473018,1.3787422308372648,0.15329864594725495,0.4810899171390831,0.1934726013331762,0.4800400737380123,0.1943838402083882
default,R1-6,SHIELD_THR_NORM,1p05,False,5,8.533333333333333,4.997777283731017,1.192740727606974,0.09533130998081814,1.217934065018317,0.1104431136765687,0.4827281591476528,0.18974352001836814,0.4817172876460383,0.19059212645988913
default,R1-6,SHIELD_THR_NORM,1p15,False,5,8.266666666666667,5.688194402053745,1.1918459666058276,0.10240989633464297,1.219372158352204,0.12222138254239426,0.48062086161008555,0.21473578280388486,0.4794929107146264,0.21572969144263454
default,R1-6,SHIELD_THR_NORM,1p1,False,5,9.466666666666665,5.194013648208654,1.1899296413852807,0.10191769197730455,1.2182050101403914,0.11833623390022623,0.4422138682870792,0.22341283158662628,0.4410509304539508,0.22415962990313504
default,R1-6,SHIELD_THR_NORM,1p2,False,5,8.400000000000002,5.804213029247711,1.1917463556388959,0.10365545726237128,1.2164005387097014,0.11657522091553019,0.4743466030579914,0.23718587504869032,0.4733808225166074,0.23776898521155782
default,R1-6,SHIELD_THR_NORM,1p3,False,5,8.4,5.5095876030385025,1.186958164033992,0.09954786582576117,1.214887599484973,0.11902779500572656,0.478073460106634,0.21411053296603377,0.476942906707294,0.21491819240984678
wide,R1-6,SHIELD_THR_NORM,1p05,False,5,2.533333333333333,3.313272970610447,0.4394294685375152,0.04828575524123582,0.4352558340369493,0.04030389119896906,0.7194286967230695,0.05256902675192003,0.7194286967230695,0.05256902675192003
wide,R1-6,SHIELD_THR_NORM,1p15,False,5,2.5333333333333337,2.280350850198276,0.43934795995424214,0.044975859294819044,0.4409618361010307,0.04397316940090508,0.7277607379922985,0.033872815260357264,0.7277607379922985,0.033872815260357264
wide,R1-6,SHIELD_THR_NORM,1p1,False,5,2.666666666666667,3.2317865716108862,0.43664601248371293,0.04834841032314375,0.43271385136679513,0.04085756272655425,0.7186760116471234,0.05209978719080898,0.7186760116471234,0.05209978719080898
wide,R1-6,SHIELD_THR_NORM,1p2,False,5,2.666666666666667,3.39934634239519,0.4390656027076146,0.046426777435486656,0.4396960294987826,0.04735784831500132,0.7165424151290131,0.06075501790886629,0.7165424151290131,0.06075501790886629
wide,R1-6,SHIELD_THR_NORM,1p3,False,5,2.8,3.3466401061363023,0.4378059637348105,0.04734922559086993,0.43129111034300865,0.03495005821732675,0.7151680878494076,0.060595919632558705,0.7151680878494076,0.060595919632558705
default,R4-1,OVERFLOW_MULT,1p1,False,5,8.8,6.243218543169682,1.1880152687336696,0.10090396485023728,1.2159508995200476,0.12217238108806584,0.4477361955660838,0.24127103123466354,0.446540825627178,0.24232147006040858
default,R4-1,OVERFLOW_MULT,1p25,False,5,8.400000000000002,4.560701700396552,1.1916248371715927,0.10529152770378052,1.2159868661457776,0.11881678811839076,0.49527369038904007,0.18210636069748773,0.49432354827053426,0.18274782798111217
