dag,reviewer,param_key,param_val,is_default,seed,app_timeout_rate,delay_succ,delay_all,UtilityScore_all,UtilityScore_succ,energy
chain,R1-6,LAMBDA_GUIDE,0,False,1,0.12,1.3953593046204136,1.3674421335423175,0.3523222363158155,0.3511369926709227,0.2089078394813462
chain,R1-6,LAMBDA_GUIDE,0p05,False,1,0.1,1.3666276664688926,1.3495021331751145,0.4603183107335723,0.4596641485551594,0.20899553436709353
chain,R1-6,LAMBDA_GUIDE,0p1,False,1,0.08,1.372157480045361,1.3510305509690175,0.5482936589495105,0.5475773838412167,0.20994364315910063
chain,R1-6,LAMBDA_GUIDE,0p2,False,1,0.08,1.3804551298372092,1.3545671380686823,0.5478589574425781,0.5469805575192004,0.21023020843732956
chain,R1-6,LAMBDA_GUIDE,0p4,False,1,0.08666666666666667,1.3812534646890837,1.357444369124152,0.5208089222741314,0.519967764663024,0.20886749492260342
chain,R1-6,LAMBDA_GUIDE,0p05,False,3,0.15333333333333332,1.5749938841404647,1.5081624671097857,0.13684835630663117,0.1336696413839637,0.2313067550138789
chain,R1-6,LAMBDA_GUIDE,0p1,False,3,0.11333333333333333,1.5494389410301592,1.5048814061740434,0.37810801795045,0.3762563477157562,0.23382707863354937
chain,R1-6,LAMBDA_GUIDE,0p2,False,3,0.16,1.569889956020738,1.5091903695077125,0.09323406077178184,0.09031796196562093,0.23085752488208366
chain,R1-6,LAMBDA_GUIDE,0p4,False,3,0.16666666666666666,1.5762177123150447,1.5117865929587977,0.04768218577817231,0.04456716685749162,0.2298697665812918
chain,R1-6,LAMBDA_GUIDE,0,False,3,0.18666666666666668,1.5826929899380715,1.5104876070278594,-0.08484255551801966,-0.088314651793566,0.2268826979931494
chain,R1-6,LAMBDA_GUIDE,0p05,False,5,0.15333333333333332,1.5139237260696181,1.4677584161034587,0.13690483850766338,0.13470940068153212,0.20405508669467876
chain,R1-6,LAMBDA_GUIDE,0p1,False,5,0.13333333333333333,1.504799054627377,1.4612206463625614,0.2650878765416499,0.26312379157821714,0.20445464078860204
chain,R1-6,LAMBDA_GUIDE,0p2,False,5,0.14666666666666667,1.5160827992108847,1.4609940527546494,0.1820756963661434,0.17949390187440104,0.20264128246861604
chain,R1-6,LAMBDA_GUIDE,0p4,False,5,0.15333333333333332,1.5106147900778841,1.462250846057115,0.13824580778894674,0.1359466361482741,0.2043291145415281
chain,R1-6,LAMBDA_GUIDE,0,False,5,0.12,1.5027507261184323,1.4697872088350965,0.34039042956158283,0.3389776385980337,0.20501055490898087
chain,R1-6,LAMBDA_GUIDE,0p05,False,7,0.02,1.2172873594663896,1.2068862864388545,0.6894055412106549,0.6891410282610653,0.1979973512149746
chain,R1-6,LAMBDA_GUIDE,0p1,False,7,0.02666666666666667,1.2183844442939578,1.2081695850457346,0.6830437151231922,0.6827796176431209,0.19716018548806777
chain,R1-6,LAMBDA_GUIDE,0p2,False,7,0.013333333333333334,1.2227167414670188,1.2156385152554448,0.6950291729355974,0.6948518545658177,0.1972766265668554
chain,R1-6,LAMBDA_GUIDE,0p4,False,7,0.04,1.227275681965166,1.2160147804353163,0.6649916949253915,0.6646872640720242,0.19681908302433138
chain,R1-6,LAMBDA_GUIDE,0,False,7,0.04,1.2339012981039232,1.2203518263061717,0.6638410093932761,0.663473677643542,0.19661762346013212
chain,R1-6,LAMBDA_GUIDE,0p05,False,42,0.04666666666666667,1.2387215661593376,1.2261571741999238,0.6487365642401058,0.6483838788367238,0.1966446110139257
chain,R1-6,LAMBDA_GUIDE,0p1,False,42,0.0,1.2267357596667658,1.2208663292800952,0.6996923056809058,0.6995471247954673,0.19735297535034368
chain,R1-6,LAMBDA_GUIDE,0p2,False,42,0.006666666666666667,1.2225065011650362,1.2119226910796002,0.6964289472370995,0.6961647772593151,0.1976986891257537
chain,R1-6,LAMBDA_GUIDE,0p4,False,42,0.04,1.224638871230203,1.213498687339988,0.6614752257920458,0.6611715417072137,0.1976418507114444
chain,R1-6,LAMBDA_GUIDE,0,False,42,0.04666666666666667,1.2355997765541964,1.2213811292528334,0.6491020825842764,0.648703267944053,0.19975154457847236
default,R1-6,LAMBDA_GUIDE,0p05,False,1,0.12,1.2448435494549113,1.2141737965602946,0.36688466689149174,0.3655980424553594,0.2041740978229597
default,R1-6,LAMBDA_GUIDE,0p1,False,1,0.09333333333333334,1.2468617078761008,1.216184756563417,0.5026352490788956,0.5015236317084675,0.20425898412842616
default,R1-6,LAMBDA_GUIDE,0p2,False,1,0.11333333333333333,1.2485678738629646,1.2158065615524702,0.40419730802856857,0.4028685051828226,0.20481380729628715
default,R1-6,LAMBDA_GUIDE,0p4,False,1,0.1,1.2510864395384067,1.215150304157904,0.47206519925585444,0.47071099032811453,0.20361943138510316
default,R1-6,LAMBDA_GUIDE,0,False,1,0.14666666666666667,1.2527430177494727,1.216946034317908,0.20749551522384516,0.20583524081147683,0.20325289770092103
